Cycle,Capacity_kWh,Strategy,Fuel_kg
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,120.0,ECMS,26.04963205392798
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,120.0,AECMS,27.026208178532176
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,120.0,PECMS,26.852969257380046
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,120.0,DP,25.50162819758716
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,100.0,ECMS,26.133242382118116
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,100.0,AECMS,28.328643858704854
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,100.0,PECMS,28.19270974964769
Class5_Tractor_DECL_LongHaulEMSReferenceLoad,100.0,DP,26.460356609168706
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,120.0,ECMS,26.590323913101436
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,120.0,AECMS,27.206101904932392
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,120.0,PECMS,27.117450777532383
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,120.0,DP,25.83192278730874
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,100.0,ECMS,26.59881353962545
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,100.0,AECMS,28.53961355811044
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,100.0,PECMS,28.47253146822304
Class5_Tractor_DECL_RegionalDeliveryEMSReferenceLoad,100.0,DP,26.79267672779712
